city,corridor,zone,hour,day_of_week,vehicle_count,historical_avg_speed_kmh,target_speed_kmh
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,8,6,157,41.0,14.3
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,6,3,141,36.0,25.9
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,8,5,267,42.3,11.8
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,1,6,264,21.1,11.8
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,12,6,180,49.3,33.0
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,15,3,211,16.1,10.1
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,3,6,117,25.9,19.4
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,12,5,156,22.1,15.5
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,22,6,383,36.8,15.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,12,4,168,33.6,23.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,7,5,288,16.6,8.8
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,14,3,252,43.4,25.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,17,4,154,35.4,12.4
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,4,0,269,37.1,20.6
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,18,2,358,17.5,6.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,8,0,268,18.2,6.0
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,13,2,209,42.1,26.6
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,18,2,410,18.0,6.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,7,5,290,46.7,24.6
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,15,6,343,32.4,14.9
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,4,6,133,25.0,18.2
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,16,6,209,27.6,17.4
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,10,0,237,43.7,13.0
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,12,1,88,33.6,26.4
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,1,4,169,42.3,28.9
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,17,1,367,35.0,7.5
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,23,3,137,42.5,30.8
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,7,5,253,18.5,10.6
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,1,6,125,27.1,20.0
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,17,6,287,47.5,12.6
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,1,5,468,30.5,9.1
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,16,3,442,39.6,13.1
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,4,4,394,35.3,13.9
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,0,5,328,43.9,21.0
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,22,0,379,13.8,6.0
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,23,2,476,25.2,7.3
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,2,4,332,15.5,7.3
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,12,3,194,14.3,9.3
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,1,3,92,44.5,34.8
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,18,3,176,8.4,6.0
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,1,2,162,13.4,9.3
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,8,6,287,22.7,6.0
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,12,0,392,38.2,15.1
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,2,0,224,25.2,15.4
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,17,2,88,21.1,8.3
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,11,3,294,19.2,6.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,0,4,171,30.8,20.9
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,15,4,303,45.3,23.1
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,18,0,136,19.0,6.9
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,11,0,462,36.0,6.0
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,18,4,179,10.0,6.0
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,18,0,83,32.3,12.8
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,22,6,328,41.5,19.8
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,1,0,233,30.0,18.0
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,20,4,117,17.8,6.7
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,15,0,67,32.6,26.5
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,9,1,286,29.0,7.7
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,15,4,138,49.6,35.8
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,22,1,167,14.7,10.1
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,11,2,196,24.6,8.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,15,2,66,16.0,13.0
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,12,6,421,29.1,10.4
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,9,4,312,9.3,6.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,5,3,396,24.1,9.4
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,23,1,299,10.6,6.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,8,6,223,15.0,6.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,9,6,477,13.7,6.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,4,0,264,12.4,7.0
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,17,1,422,15.1,6.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,10,1,470,34.3,6.0
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,21,0,176,48.1,16.2
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,20,2,434,27.7,6.0
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,18,4,295,31.1,8.1
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,16,3,305,15.4,7.8
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,21,6,294,20.1,6.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,17,5,143,28.0,10.0
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,14,4,241,20.0,11.8
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,10,3,164,12.3,6.0
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,18,3,361,45.9,10.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,1,2,407,10.1,6.0
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,10,6,218,44.4,13.8
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,16,3,277,48.4,26.3
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,11,6,182,47.1,15.7
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,6,6,236,37.0,22.1
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,5,1,304,26.7,13.6
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,10,5,207,22.4,7.1
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,5,3,186,35.6,23.5
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,4,6,409,36.9,13.8
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,21,0,402,33.2,6.4
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,18,3,382,14.1,6.0
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,4,6,165,24.9,17.1
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,23,5,388,22.6,9.1
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,2,2,288,8.1,6.0
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,19,3,280,33.8,9.1
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,22,2,140,9.7,7.0
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,14,3,131,10.2,7.5
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,23,6,284,32.6,17.4
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,16,4,432,24.1,8.3
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,20,2,420,21.6,6.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,21,2,187,25.0,8.2
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,7,3,257,15.8,9.0
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,0,3,448,31.3,10.1
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,23,6,203,41.4,26.5
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,17,3,166,18.9,6.5
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,15,4,337,39.2,18.3
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,5,2,152,38.3,27.0
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,0,0,63,15.1,12.4
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,8,5,293,49.9,13.1
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,10,1,125,48.1,17.8
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,7,5,365,11.9,6.0
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,13,5,60,18.0,14.8
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,4,0,384,41.7,16.9
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,3,3,243,49.8,29.3
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,12,3,363,18.0,7.8
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,12,5,114,38.2,28.8
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,8,0,283,29.4,7.9
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,14,5,432,19.1,6.6
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,8,1,335,15.6,6.0
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,19,3,188,26.7,8.8
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,3,3,296,45.4,23.6
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,19,0,319,17.8,6.0
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,17,5,329,39.6,9.4
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,20,6,428,45.2,7.9
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,19,6,478,36.1,6.0
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,5,4,357,8.3,6.0
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,18,4,256,8.5,6.0
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,10,5,106,24.9,9.5
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,22,0,382,44.6,18.2
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,18,2,448,43.7,7.1
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,2,3,177,49.8,33.5
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,3,6,262,43.9,24.7
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,20,2,290,47.5,12.5
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,3,2,456,47.3,14.8
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,6,5,385,12.8,6.0
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,5,5,204,19.6,12.5
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,20,4,308,24.4,6.1
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,9,2,424,26.6,6.0
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,14,6,391,20.6,8.2
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,11,4,402,12.7,6.0
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,10,2,59,24.8,10.2
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,18,3,145,23.6,8.4
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,23,5,258,15.5,8.8
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,5,1,361,44.3,19.3
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,22,6,431,35.5,12.3
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,20,4,120,10.8,6.0
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,1,3,67,26.4,21.5
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,0,2,443,31.2,10.3
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,21,0,156,10.3,6.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,1,6,378,48.6,20.1
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,7,5,401,27.0,10.4
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,16,3,368,20.4,8.7
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,19,6,199,42.8,13.8
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,20,0,287,8.0,6.0
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,18,6,478,16.2,6.0
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,15,3,139,30.7,22.1
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,10,5,383,11.0,6.0
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,13,0,396,28.8,11.3
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,8,0,295,18.6,6.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,0,5,210,33.9,21.4
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,6,0,146,38.8,27.6
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,1,3,59,16.0,13.2
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,7,3,263,32.0,18.0
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,12,1,334,15.5,7.3
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,4,6,423,48.7,17.3
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,18,0,121,10.2,6.0
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,19,4,283,23.2,6.2
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,10,5,117,13.0,6.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,7,6,263,42.2,23.7
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,2,2,164,41.9,28.9
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,17,5,135,39.3,14.3
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,6,4,92,41.8,32.7
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,6,6,323,33.0,16.0
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,0,4,164,8.9,6.1
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,17,1,246,18.6,6.0
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,0,1,324,14.8,7.2
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,2,2,130,35.4,25.9
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,1,3,310,39.1,19.6
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,7,3,178,10.1,6.8
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,13,1,404,23.1,8.8
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,13,1,267,39.9,22.2
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,17,3,305,33.5,8.5
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,22,4,170,36.6,24.9
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,2,4,373,15.7,6.6
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,13,2,183,45.8,30.4
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,10,0,354,32.7,7.3
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,4,6,133,47.8,34.8
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,2,6,149,10.3,7.3
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,14,4,460,19.3,6.0
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,5,3,414,14.9,6.0
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,14,6,255,19.5,11.2
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,0,2,221,41.1,25.3
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,5,4,275,37.4,20.4
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,2,0,308,45.9,23.1
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,2,5,111,28.2,21.4
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,7,2,83,19.0,15.1
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,18,1,245,10.5,6.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,16,4,470,43.3,12.8
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,1,0,381,23.0,9.4
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,5,5,79,39.5,31.5
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,13,6,135,10.1,7.3
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,8,6,279,36.2,9.8
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,12,3,216,30.9,19.2
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,18,3,473,16.0,6.0
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,3,2,254,15.4,8.8
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,5,0,326,35.8,17.2
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,20,0,215,39.7,12.4
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,11,2,260,41.4,11.7
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,18,3,387,49.8,10.0
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,1,5,395,32.6,12.8
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,23,4,105,23.8,18.2
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,4,3,132,33.4,24.4
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,5,5,141,14.4,10.3
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,11,0,88,17.0,6.7
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,8,3,453,23.1,6.0
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,6,1,392,35.1,13.9
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,18,0,424,10.3,6.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,23,0,341,27.9,12.9
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,23,0,120,19.1,14.2
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,0,5,146,16.4,11.7
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,19,4,471,34.3,6.0
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,23,3,91,21.2,16.6
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,19,4,176,9.1,6.0
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,5,3,267,15.7,8.7
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,20,6,352,16.3,6.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,22,2,157,16.2,11.3
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,20,4,461,46.1,7.1
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,6,3,194,46.1,30.0
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,17,1,100,39.0,15.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,13,6,65,27.7,22.6
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,5,2,409,23.7,8.9
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,21,0,461,16.6,6.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,14,6,100,21.8,16.8
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,18,0,247,8.3,6.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,4,1,269,39.0,21.6
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,12,4,462,22.4,6.9
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,4,5,462,43.0,13.2
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,19,5,245,49.9,14.6
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,19,3,249,31.2,9.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,9,3,161,9.0,6.0
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,0,5,456,9.4,6.0
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,16,4,361,31.2,13.6
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,11,6,448,12.4,6.0
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,8,4,209,40.3,12.7
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,15,6,333,25.2,11.9
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,12,0,413,25.6,9.4
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,13,1,408,16.3,6.1
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,13,3,396,12.5,6.0
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,8,0,360,27.2,6.0
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,18,3,376,42.6,8.9
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,13,6,335,35.6,16.7
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,7,4,410,17.6,6.6
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,4,4,380,17.5,7.2
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,23,2,173,33.4,22.6
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,2,2,311,24.5,12.3
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,11,3,169,37.5,12.8
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,18,5,352,8.2,6.0
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,1,4,384,21.5,8.7
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,20,4,423,46.3,8.2
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,10,5,51,47.3,19.7
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,6,4,220,40.6,25.1
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,0,1,304,13.0,6.6
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,11,6,204,29.9,9.5
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,22,2,190,18.0,11.8
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,3,6,218,33.5,20.8
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,8,2,136,19.5,7.1
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,3,2,412,16.1,6.0
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,23,4,381,35.0,14.4
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,1,6,471,41.4,12.2
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,4,6,459,10.4,6.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,1,1,56,45.9,38.0
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,13,5,450,9.5,6.0
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,18,0,108,36.7,14.0
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,19,0,358,41.6,9.1
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,4,0,461,29.5,9.1
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,3,2,163,28.6,19.7
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,21,1,111,31.5,11.9
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,11,5,398,11.6,6.0
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,17,1,420,32.9,6.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,18,0,187,48.3,15.9
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,17,6,122,24.8,9.2
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,21,4,354,42.9,9.5
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,20,2,460,31.9,6.0
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,2,1,100,49.7,38.3
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,17,2,280,28.5,7.7
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,8,5,355,36.0,8.0
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,17,1,439,44.8,7.5
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,1,0,191,32.2,21.1
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,11,5,441,10.7,6.0
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,21,5,180,23.8,8.0
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,9,3,230,44.9,13.6
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,16,2,113,10.9,8.2
Bengaluru,Central Silk Board Junction,ZONE_SOUTH,15,3,133,30.2,22.0
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,13,6,227,43.7,26.6
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,15,3,152,44.4,31.3
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,20,0,241,35.8,10.6
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,4,2,134,11.3,8.2
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,18,1,176,10.4,6.0
Bengaluru,Hebbal Flyover to Airport,ZONE_NORTH,15,6,77,22.9,18.3
Mumbai,Bandra-Worli Sea Link Approach,MUMBAI_BANDRA,2,0,357,24.1,10.6
Bengaluru,M.G. Road Corridor,ZONE_CENTRAL,13,5,149,19.8,14.0
Delhi NCR,Gurgaon Cyber City Expressway,DELHI_GURGAON,19,1,161,24.6,8.5
Delhi NCR,AIIMS Ring Road Junction,DELHI_SOUTH,14,0,286,12.4,6.6
Bengaluru,Whitefield ITPB Main Road,ZONE_EAST,19,2,142,39.0,14.0
Mumbai,Western Express Highway (Andheri),MUMBAI_WEH,13,5,118,39.9,29.9
